"BehaviorSpace results (NetLogo 3D 5.1.0)"
"/home/ec2-user/swarmSimRescue/rescueSwarm3D.nlogo3d"
"SwarmModSizeExperiment"
"09/14/2014 03:16:13:555 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","swarmBehaviour","swarmModificationSize","[step]","rescued","totalVictims"
"503","false","0.2","20000","10","11"
"497","false","0.2","19256","7","7"
"491","false","0.2","14184","14","14"
"502","false","0.2","20000","7","10"
"533","false","0.2","9536","10","10"
"537","false","0.2","4975","10","10"
"534","false","0.2","6660","15","15"
"485","false","0.2","20000","9","10"
"532","false","0.2","12245","12","12"
"540","false","0.2","8643","11","11"
"536","false","0.2","11072","11","11"
"489","false","0.2","20000","13","14"
"525","false","0.2","20000","8","10"
"549","false","0.2","5636","11","11"
"541","false","0.2","7934","7","7"
"522","false","0.2","18104","16","16"
"535","false","0.2","12031","10","10"
"550","false","0.2","6470","12","12"
"552","false","0.2","5866","11","11"
"559","false","0.2","4812","12","12"
"519","false","0.2","20000","7","8"
"512","false","0.2","15569","14","14"
"553","false","0.2","10587","13","13"
"524","false","0.2","13182","9","9"
"492","false","0.2","20000","7","8"
"539","false","0.2","20000","12","13"
"528","false","0.2","15711","9","9"
"563","false","0.2","5960","11","11"
"547","false","0.2","7687","8","8"
"558","false","0.2","10796","14","14"
"545","false","0.2","20000","8","9"
"571","false","0.2","5394","9","9"
"548","false","0.2","20000","17","19"
"555","false","0.2","12537","10","10"
"513","false","0.2","20000","11","12"
"544","false","0.2","20000","10","11"
"542","false","0.2","20000","13","14"
"561","false","0.2","9905","11","11"
"557","false","0.2","20000","11","13"
"526","false","0.2","20000","10","12"
"573","false","0.2","6777","11","11"
"576","false","0.2","6123","10","10"
"572","false","0.2","8560","11","11"
"574","false","0.2","7736","6","6"
"568","false","0.2","20000","9","12"
"569","false","0.2","14376","18","18"
"565","false","0.2","16377","14","14"
"578","false","0.2","9672","19","19"
"562","false","0.2","20000","10","11"
"551","false","0.2","12930","13","13"
"546","false","0.2","20000","8","9"
"556","false","0.2","20000","12","13"
"543","false","0.2","20000","12","13"
"514","false","0.2","20000","6","7"
"581","false","0.2","9009","12","12"
"566","false","0.2","15891","15","15"
